,rank_date,rank,country_full,country_abrv,cur_year_avg_weighted,two_year_ago_weighted,three_year_ago_weighted,weighted_points
1502875,2018-06-07,10.0,Spain,ESP,537.05,193.92,88.8,819.7699999999999
1511945,2018-06-07,200.0,Sri Lanka,SRI,0.0,7.65,4.86,12.510000000000002
1520878,2018-06-07,135.0,St Kitts and Nevis,SKN,42.93,77.85,43.93,164.71
1529948,2018-06-07,170.0,St Lucia,LCA,42.5,36.72,15.73,94.95
1539018,2018-06-07,173.0,St Vincent and the Grenadines,VIN,34.0,20.0,34.6,88.6
1548088,2018-06-07,128.0,Sudan,SDN,162.89,34.64,34.64,232.16999999999996
1557158,2018-06-07,153.0,Suriname,SUR,0.0,19.89,4.25,24.14
1566228,2018-06-07,134.0,Swaziland,SWZ,52.28,90.34,15.77,158.39000000000001
1575298,2018-06-07,24.0,Sweden,SWE,478.44,111.03,74.44,663.9100000000001
1584368,2018-06-07,6.0,Switzerland,SUI,578.59,101.43,114.42,794.4399999999999
1593438,2018-06-07,73.0,Syria,SYR,213.58,64.81,31.93,310.32
1600671,2018-06-07,186.0,São Tomé e Príncipe,STP,0.0,50.54,0.0,50.54
1609741,2018-06-07,157.0,Tahiti,TAH,34.0,31.87,0.0,65.87
1618340,2018-06-07,119.0,Tajikistan,TJK,164.9,28.62,9.95,203.47
1627410,2018-06-07,140.0,Tanzania,TAN,105.93,44.83,12.58,163.34
1636480,2018-06-07,122.0,Thailand,THA,119.9,66.76,24.39,211.05
1640696,2018-06-07,190.0,Timor-Leste,TLS,41.82,0.0,0.0,41.82
1649766,2018-06-07,125.0,Togo,TOG,78.96,41.4,45.29,165.64999999999998
1657636,2018-06-07,206.0,Tonga,TGA,0.0,0.0,0.0,0.0
1666706,2018-06-07,91.0,Trinidad and Tobago,TRI,137.06,86.33,63.96,287.34999999999997
1675776,2018-06-07,21.0,Tunisia,TUN,545.56,68.28,98.68,712.52
1684846,2018-06-07,38.0,Turkey,TUR,299.57,181.42,48.61,529.6
1693473,2018-06-07,130.0,Turkmenistan,TKM,131.4,66.09,0.0,197.49
1700489,2018-06-07,206.0,Turks and Caicos Islands,TCA,0.0,0.0,0.0,0.0
1707505,2018-06-07,199.0,US Virgin Islands,VIR,0.0,0.0,17.6,17.6
1716575,2018-06-07,25.0,USA,USA,473.0,104.89,64.14,642.03
1725645,2018-06-07,82.0,Uganda,UGA,174.57,76.83,60.77,312.16999999999996
1734715,2018-06-07,35.0,Ukraine,UKR,391.08,141.93,63.45,596.46
1743785,2018-06-07,77.0,United Arab Emirates,UAE,183.25,65.47,50.73,299.45
1752855,2018-06-07,14.0,Uruguay,URU,486.28,168.44,119.85,774.57
1761482,2018-06-07,95.0,Uzbekistan,UZB,66.85,93.52,40.74,201.11
1770552,2018-06-07,162.0,Vanuatu,VAN,86.02,30.81,0.0,116.83
1779622,2018-06-07,33.0,Venezuela,VEN,469.33,80.22,27.99,577.54
1788692,2018-06-07,102.0,Vietnam,VIE,222.7,47.52,16.5,286.71999999999997
1797762,2018-06-07,18.0,Wales,WAL,335.47,107.98,137.41,580.86
1806832,2018-06-07,133.0,Yemen,YEM,113.42,21.61,17.81,152.84
1821587,2018-06-07,76.0,Zambia,ZAM,236.14,56.02,59.46,351.61999999999995
1830657,2018-06-07,118.0,Zimbabwe,ZIM,133.45,69.62,12.75,215.82
